CD_SETOR,SITUACAO,AREA_KM2,CD_REGIAO,NM_REGIAO,CD_UF,NM_UF,CD_MUN,NM_MUN,CD_DIST,NM_DIST,CD_SUBDIST,NM_SUBDIST,CD_BAIRRO,NM_BAIRRO,CD_NU,NM_NU,v0001,v0002,v0003,v0004,v0005,v0006,v0007
"3,30391E+14",Rural,"1,5178754",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390610,Cascatinha,33039061000,,.,,.,,137,51,51,0,3,0,46
"3,30391E+14",Urbana,"0,1508173",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390610,Cascatinha,33039061000,,.,,.,,339,125,125,0,3,"0,0965",114
"3,30391E+14",Rural,"0,5069329",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390610,Cascatinha,33039061000,,.,,.,,134,58,58,0,"2,4","0,0727",55
"3,30391E+14",Urbana,"0,2101088",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390610,Cascatinha,33039061000,,.,,.,,577,217,217,0,"2,8","0,1068",206
"3,30391E+14",Rural,"3,7790615",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390610,Cascatinha,33039061000,,.,,.,,0,0,0,0,0,0,0
"3,30391E+14",Urbana,"1,6547575",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390610,Cascatinha,33039061000,,.,,.,,665,324,324,0,"2,6","0,0392",255
"3,30391E+14",Rural,"2,2405842",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390610,Cascatinha,33039061000,,.,,.,,0,0,0,0,0,0,0
"3,30391E+14",Urbana,"1,0096915",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390610,Cascatinha,33039061000,,.,,.,,175,105,105,0,"2,5","0,1304",69
"3,30391E+14",Urbana,"0,735433",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,283,205,205,0,"2,5","0,0885",113
"3,30391E+14",Urbana,"1,4356809",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,685,369,369,0,"2,3","0,0169",295
"3,30391E+14",Urbana,"1,4071033",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,290,200,200,0,"2,7","0,0556",108
"3,30391E+14",Urbana,"0,275303",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,369,150,150,0,"2,8","0,0526",133
"3,30391E+14",Urbana,"0,2508805",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,597,278,278,0,"2,5","0,0453",243
"3,30391E+14",Urbana,"0,1327935",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,583,272,272,0,"2,6","0,1637",226
"3,30391E+14",Urbana,"0,4002391",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,570,312,312,0,"2,6","0,0274",219
"3,30391E+14",Urbana,"1,3614418",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,131,62,62,0,3,"0,093",43
"3,30391E+14",Urbana,"0,1844156",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,661,299,299,0,"2,4","0,0846",272
"3,30391E+14",Urbana,"2,1600858",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,427,295,295,0,"2,8","0,0066",152
"3,30391E+14",Urbana,"1,3493912",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,713,461,461,0,"2,5","0,0727",289
"3,30391E+14",Rural,"17,2228025",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,397,210,210,0,"2,9","0,1765",136
"3,30391E+14",Urbana,"0,2482211",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,942,359,357,2,"3,1","0,0667",300
"3,30391E+14",Rural,"12,5826568",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,22,10,10,0,"3,1",0,7
"3,30391E+14",Rural,"6,050963",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,5,2,2,0,"2,5","0,5",2
"3,30391E+14",Urbana,"0,2911361",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,454,250,249,1,"2,6","0,0977",174
"3,30391E+14",Urbana,"0,1055284",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,486,218,218,0,"2,6","0,0162",185
"3,30391E+14",Urbana,"1,0827753",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,473,273,273,0,"2,7","0,0514",175
"3,30391E+14",Urbana,"0,1975763",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,345,218,218,0,"2,5","0,0214",140
"3,30391E+14",Urbana,"2,4007883",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,605,364,364,0,"2,7","0,0848",224
"3,30391E+14",Urbana,"0,0837997",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,734,282,282,0,"2,7","0,0743",269
"3,30391E+14",Urbana,"0,0560898",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,561,300,300,0,"2,4","0,0043",233
"3,30391E+14",Urbana,"0,2506676",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,44,28,28,0,"2,4","0,0556",18
"3,30391E+14",Urbana,"0,1018444",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,370,198,198,0,"2,3",0,164
"3,30391E+14",Urbana,"0,6824879",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,312,205,205,0,"2,5","0,1575",127
"3,30391E+14",Urbana,"0,0552347",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,381,268,268,0,"2,4","0,0443",158
"3,30391E+14",Rural,"10,1797881",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,0,0,0,0,0,0,0
"3,30391E+14",Urbana,"0,1913547",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,180,107,107,0,"2,5","0,0282",71
"3,30391E+14",Rural,"5,9890595",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,48,15,15,0,"3,4",0,14
"3,30391E+14",Urbana,"8,2823605",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,213,322,322,0,"2,1","0,0098",102
"3,30391E+14",Urbana,"0,2994786",3,Sudeste,33,Rio de Janeiro,3303906,Petrópolis,330390615,Itaipava,33039061500,,.,,.,,279,213,213,0,"2,5","0,1161",112
