dataset_of_90s_track,dataset_of_90s_artist,dataset_of_90s_uri,dataset_of_90s_danceability,dataset_of_90s_energy,dataset_of_90s_key,dataset_of_90s_loudness,dataset_of_90s_mode,dataset_of_90s_speechiness,dataset_of_90s_acousticness,dataset_of_90s_instrumentalness,dataset_of_90s_liveness,dataset_of_90s_valence,dataset_of_90s_tempo,dataset_of_90s_duration_ms,dataset_of_90s_time_signature,dataset_of_90s_chorus_hit,dataset_of_90s_sections,dataset_of_90s_target,dataset_of_90s_id_ano
Blessed Assurance - Old Time Gospel Hymns Version,Craig Duncan,spotify:track:0XlC9DQdznivjcNjgIZFLM,0.523,0.287,9,"-13,719",1,"0,0333","0,815","0,405","0,138","0,439","146,532",234000,3,"48,72576",9,0,6
Blue,LeAnn Rimes,spotify:track:1g5EcKDECPxeI7kgkvcbxm,0.545,0.452,4,"-8,604",1,"0,0248","0,595","1,29E-06","0,161","0,297","91,294",169547,4,"38,50964",9,1,6
Blue Fields,Nobuo Uematsu,spotify:track:07xgdexrFrCURBXZkmfs2G,0.456,0.29,0,"-13,232",0,"0,0428","0,895","0,94","0,106","0,512","158,908",174133,5,"38,86235",7,0,6
Blue Lunar Ska,New York Ska-Jazz Ensemble,spotify:track:18aUlfSsqnHlicKzV0Tqa9,0.615,0.582,11,"-9,225",1,"0,0295","0,0117","0,896","0,154","0,724","120,044",258667,4,"28,40083",10,0,6
Blue Sky Mine,Midnight Oil,spotify:track:6z9ehfxE973fOlKJKNJL2x,0.631,0.852,1,"-3,181",1,"0,029","0,0601","0,000102","0,144","0,834","132,018",255600,4,"29,66725",14,1,6
Blues X Man,The Jon Spencer Blues Explosion,spotify:track:3jdKHCmYhTEpypRotNqFs3,0.633,0.647,9,"-3,691",1,"0,122","0,281","0,285","0,311","0,63","94,824",213147,4,"39,46883",11,0,6
Body and Soul,"""Richard """"Groove"""" Holmes""",spotify:track:2KQp3rQtnuN9eDeIWJo6sr,0.487,0.112,1,"-20,653",1,"0,0408","0,935","0,691","0,279","0,244","97,312",563160,4,"33,33574",21,0,6
Body And Soul,Barry Harris,spotify:track:3nkrx5hB7oH3mqcmT7mdpu,0.315,0.091,10,"-22,02",0,"0,0483","0,995","0,914","0,122","0,161","81,928",241800,4,"28,53627",12,0,6
Body and Soul,Rick Braun,spotify:track:7c3ZDUu5L5wJj1gunlWY7f,0.69,0.411,10,"-10,617",0,"0,0432","0,851","0,095","0,136","0,373","77,031",271488,4,"69,46005",11,0,6
Boom Boom Boom,The Outhere Brothers,spotify:track:3zg4stPJlbNSBPA8HJzLZA,0.723,0.857,7,"-9,989",1,"0,241","0,0523","2,66E-05","0,149","0,642","129,87",201893,4,"30,67783",10,1,6
Born with a Broken Heart,Kenny Wayne Shepherd,spotify:track:76lRuankApOCvZwYrdKhqE,0.325,0.828,1,"-9,636",1,"0,0344","4,28E-05","0,0933","0,0858","0,824","111,289",356067,4,"28,17179",15,0,6
Both Sides Of The Story,Phil Collins,spotify:track:4cf7GM8kOiqc0KwDn3GxRa,0.524,0.706,8,"-6,91",1,"0,0427","0,0383","0,000111","0,0737","0,425","127,645",403920,4,"68,16121",15,1,6
Breaking Bells - Take Me to the Mardi Gras,Crash Crew,spotify:track:7dB6Up1HBi5PDP7aiLsUMe,0.803,0.711,7,"-7,217",1,"0,3","0,0157","0,000372","0,0461","0,735","199,283",442240,4,"42,90586",19,0,6
Bring The Pain,Method Man,spotify:track:3F3R4uyTMkX9jRCEVVmdz6,0.835,0.456,6,"-10,195",0,"0,266","0,38","0,00359","0,16","0,224","101,889",189760,4,"42,58583",9,1,6
Broken Heart,Spiritualized,spotify:track:2EW4Wu7bZhEyHd8LzJR1DU,0.132,0.302,8,"-12,36",0,"0,0397","0,583","0,639","0,188","0,0368","144,69",398307,4,"31,56984",26,0,6
Brokenhearted,Brandy,spotify:track:6AzzMupvtP4u4B8d5OWVUi,0.329,0.517,6,"-7,178",1,"0,0353","0,488",0,"0,0985","0,408","149,758",286493,4,"123,44564",7,1,6
Brooklyn Zoo,Ol' Dirty Bastard,spotify:track:2FWmKZ3kNbVsKGhuNHsltW,0.704,0.701,2,"-8,031",1,"0,46","0,549",0,"0,664","0,618","92,032",217507,4,"52,70197",9,1,6
Bug A Boo,Destiny's Child,spotify:track:3iZizHVmWHdaJbvcU65S6x,0.76,0.718,6,"-3,087",1,"0,147","0,00413","7,63E-06","0,18","0,927","104,42",212440,4,"36,33562",13,1,6
Bullet With Butterfly Wings,The Smashing Pumpkins,spotify:track:6GtX0jaNL8IjVQfrDBx81z,0.404,0.72,10,"-9,18",0,"0,0626","5,59E-05","0,836","0,0466","0,475","121,649",258467,4,"49,99463",9,1,6
Bunnies,Pansy Division,spotify:track:5qneRJwocbutMZIoM0FdCV,0.567,0.951,9,"-5,982",1,"0,0363","0,00104",0,"0,23","0,855","100,85",123402,4,"33,24526",6,0,6
Butta Love,Next,spotify:track:6fRLVZ4jKzuqyDPlIdbq9q,0.735,0.441,1,"-8,412",0,"0,0407","0,0972",0,"0,0967","0,591","108,015",296400,4,"59,51177",13,1,6
Butterfly's Day Out,Mark O'Connor,spotify:track:5I4vGFmdKrwpiKw26VVk0m,0.393,0.0967,7,"-21,738",1,"0,0387","0,966","0,613","0,0662","0,354","111,92",282893,4,"37,93064",14,0,6
Butterfly's Day Out,Mark O'Connor,spotify:track:5XLk9yZZbOalRk7VtdTptk,0.379,0.0567,7,"-26,099",1,"0,04","0,962","0,444","0,0613","0,297","112,366",282667,4,"37,3197",14,0,6
C.R.E.A.M. (Cash Rules Everything Around Me),Wu-Tang Clan,spotify:track:61QU5MPwOReHIAfnY4vh54,0.675,0.659,9,"-8,787",0,"0,95","0,706",0,"0,113","0,172","79,457",158427,1,"77,85195",5,1,6
Cabin On The Hill,Lester Flatt,spotify:track:4bE74H48cdweWrLXX5DGpG,0.728,0.3,8,"-12,441",1,"0,0333","0,829",0,"0,0931","0,722","119,144",150000,4,"21,10495",8,0,6
Can I Touch You...There?,Michael Bolton,spotify:track:0DTpV2HP75LNhCEkvq1FhV,0.555,0.841,0,"-6,704",1,"0,351","0,281",0,"0,244","0,802","82,871",315893,4,"21,82731",15,1,6
Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John,spotify:track:5LjSxAIKwyZvQqJ04ZQ0Da,0.48,0.628,6,"-7,643",1,"0,0262","0,174","3,28E-05","0,0753","0,541","143,412",240547,4,"22,73478",11,1,6
Candlelight,Imogen Heap,spotify:track:1Plpn3qFBcnQpyfOMKYfdD,0.421,0.359,0,"-11,508",1,"0,0358","0,928","1,98E-05","0,0699","0,228","131,263",277093,4,"52,1606",9,0,6
Can't Get Enuff,Winger,spotify:track:1dkVHFWmHSkbVmc5MG6shA,0.638,0.83,11,"-8,616",0,"0,0289","0,000847","0,00453","0,224","0,861","100,05",226345,4,"77,81072",9,1,6
Can't Get You Off My Mind,Lenny Kravitz,spotify:track:7bk6iZ5dsrMySXB0aVFYXO,0.567,0.52,7,"-10,247",1,"0,0283","0,0147","3,91E-06","0,25","0,393","124,708",274000,4,"31,38353",16,1,6
Can't Let Go,Mariah Carey,spotify:track:0ikbcCJIJaY9sKEivAXJ4I,0.477,0.533,10,"-11,049",1,"0,0408","0,591","0,00685","0,139","0,18","162,368",266560,4,"26,49111",12,1,6
Can't Nobody Hold Me Down,Puff Daddy (Featuring Mase),spotify:track:1EM23A621Z0QyTlWKu7T1l,0.928,0.771,3,"-5,935",0,"0,251","0,102","1,07E-05","0,338","0,679","93,987",231160,4,"31,5471",13,1,6
Can't Stop This Thing We Started,Bryan Adams,spotify:track:753VOnELPOptUFMm7H10Vc,0.497,0.93,9,"-3,902",1,"0,0444","0,0112",0,"0,354","0,47","113,086",195933,4,"21,81515",10,1,6
Capsized,Samiam,spotify:track:4x7patzyHOgtwhiRJtWs9K,0.372,0.757,11,"-7,758",0,"0,0642","0,00851","6,55E-05","0,122","0,572","82,386",251960,4,"65,31176",9,0,6
Captain Save A Hoe,E-40,spotify:track:4ixD6bSwnSlzuBrd2c80vI,0.8,0.336,7,"-19,552",1,"0,252","0,0579",0,"0,223","0,538","82,996",288298,4,"54,28599",12,1,6
Carnival,Natalie Merchant,spotify:track:4QXhRjZacZ1gZUeL7Ukktw,0.601,0.48,6,"-11,41",0,"0,0732","0,2","0,0955","0,0297","0,802","188,214",361107,4,"29,83122",13,1,6
Carol Of The Bells,Steve Morse,spotify:track:6INlQWycZSqmEApYBX8l58,0.544,0.185,0,"-23,025",1,"0,042","0,957","0,938","0,0681","0,755","160,017",234213,3,"60,73291",11,0,6
Chatterbox,New York Dolls,spotify:track:6XxQdKcpWMJmP8tgkqnR9O,0.378,0.762,4,"-12,571",1,"0,0844","0,426","0,238","0,121","0,372","139,802",145773,4,"29,85589",9,0,6
Cheio de Dedos,Guinga,spotify:track:5TtgbW5qEaLSJ8ZOTePEBk,0.553,0.336,7,"-15,422",1,"0,0394","0,934","0,908","0,111","0,526","105,401",141333,4,"41,05606",7,0,6
Chhammak Chhallo (Hip Hop) - Ajay / Soundtrack Version,Kumar Sanu,spotify:track:7pUfaIrMil5GIn2AbLBwci,0.721,0.871,6,"-6,638",1,"0,057","0,531","1,92E-05","0,281","0,961","102,073",280067,4,"64,79503",10,0,6
Chicken An' Dumplings - Live,Art Blakey & The Jazz Messengers,spotify:track:2o3RFI66zFE8cffHn6uvtU,0.525,0.452,7,"-12,175",1,"0,222","0,755","0,00192","0,868","0,666","90,611",446360,4,"42,46058",17,0,6
Children,Robert Miles,spotify:track:4wtR6HB3XekEengMX17cpc,0.604,0.755,0,"-10,761",1,"0,0337","0,000295","0,812","0,0625","0,388","137,064",243267,4,"35,42465",8,1,6
Church Of Your Heart,Roxette,spotify:track:6broBHB7ObAA2BhzLT2nlX,0.581,0.637,7,"-6,039",1,"0,0273","0,0146","1,15E-05","0,103","0,608","112,437",195987,4,"34,71079",10,1,6
Church Street Sobbin' Blues,Eddie Lang,spotify:track:0WnIzeXMjluZYPWC3d6ox9,0.606,0.149,5,"-15,582",1,"0,0809","0,948","0,836","0,103","0,527","128,121",182867,4,"36,74188",9,0,6
Clarinet Marmalade,Muggsy Spanier,spotify:track:0hUJeKsRkzbIY243toePCA,0.56,0.681,1,"-8,703",0,"0,0716","0,861","0,798","0,13","0,764","117,748",205333,4,"36,87489",7,0,6
Clarinet Marmalade - Live,Alton Purnell,spotify:track:5FOXuiLI6knVtgMUjWKj6x,0.565,0.594,5,"-13,086",1,"0,0646","0,655","0,926","0,675","0,763","114,219",375933,4,"80,99693",10,0,6
Cliffs Of Dover - Instrumental,Eric Johnson,spotify:track:5qm0KiVKMXW1kq6VrnIhz5,0.449,0.775,7,"-12,029",1,"0,0405","0,162","0,149","0,248","0,313","94,907",249768,4,"16,52584",14,0,6
Closer To Me,The Outfield,spotify:track:7aoVXo6QZxoDM4fyXJpCDz,0.675,0.61,9,"-12,398",1,"0,0355","0,152","0,00135","0,124","0,821","120,979",197333,4,"32,63712",9,1,6
Coal Mine,InsideOut A Cappella,spotify:track:170eTTZS7yPeqXsDoPYf1f,0.579,0.526,2,"-8,964",1,"0,281","0,739",0,"0,125","0,895","149,336",225093,4,"22,02222",15,0,6
Coco Jamboo,Mr. President,spotify:track:5fRvePkRGdpn2nKacG7I6d,0.832,0.838,1,"-5,414",0,"0,0421","0,0791",0,"0,152","0,965","100,021",218733,4,"37,38921",11,1,6
Cofio Dy Wyneb,Bryn Fôn,spotify:track:4GDN47aEli9Bf1IYTQNrrE,0.522,0.22,4,"-13,997",1,"0,0312","0,935","0,000281","0,131","0,0722","144,078",272267,4,"73,29039",10,0,6
Color Me Once,Violent Femmes,spotify:track:2kyjRBPLjeFn3JMzMtykxf,0.689,0.512,2,"-8,782",0,"0,0354","0,636","0,00255","0,103","0,365","118,843",251707,4,"35,27758",15,0,6
Come Again,Damn Yankees,spotify:track:6Hfvn9qguufsmHp0uk3y3r,0.222,0.681,9,"-10,832",0,"0,0469","0,126","8,03E-05","0,128","0,388","130,689",339560,4,"48,53608",17,1,6
Come Baby Come,K7,spotify:track:0Y6z0WSMQpTpj4kQArPnmK,0.832,0.726,11,"-7,739",0,"0,191","0,0283",0,"0,0468","0,548","106,118",239733,4,"19,46116",10,1,6
Come Undone,Duran Duran,spotify:track:0yfNXxlyXdmP0ue1iJijx1,0.542,0.793,8,"-8,203",1,"0,053","0,0423","3,95E-06","0,0814","0,708","173,931",256520,4,"33,0209",14,1,6
Communist Daughter,Neutral Milk Hotel,spotify:track:72iYfBDEF6dNVeekA8ppyB,0.192,0.377,7,"-9,157",1,"0,0352","0,285","0,813","0,173","0,0976","84,772",117307,4,"32,368",5,0,6
Con Te Partirò,Andrea Bocelli,spotify:track:7zrpoAJte9o12TzawqgdD0,0.241,0.367,7,"-7,95",1,"0,0311","0,844","0,00279","0,0873","0,302","135,267",250984,5,"43,76625",11,0,6
Condon Nacional,Sexual Democracia,spotify:track:0lbIwYtlabSZqq3QJyERNL,0.631,0.458,7,"-12,136",0,"0,0441","0,275",0,"0,19","0,627","90,96",300427,4,"38,83737",16,0,6
Confidente de Secundaria,Los Superclasicos,spotify:track:30D4KlCqNcdIckd2AzGleo,0.682,0.616,7,"-10,232",1,"0,0339","0,299","8,23E-06","0,0995","0,963","105,015",136640,4,"42,39167",6,0,6
Congo - D Max Mix,The Boss,spotify:track:3FZhMhyawbtrDbQl4Z90pm,0.739,0.864,10,"-9,323",0,"0,0693","0,0277","0,897","0,333","0,402","123,684",584133,4,"79,12952",23,0,6
Connected,Stereo MC's,spotify:track:5t09SnxOR2AelOghumKkXO,0.647,0.798,1,"-12,144",0,"0,0365","0,0498","0,00221","0,0722","0,706","100,631",314133,4,"58,00848",8,1,6
Cool Waves,Spiritualized,spotify:track:2x6fjgPBbXcwWUvv38QjUN,0.264,0.373,9,"-9,735",1,"0,0298","0,404","0,141","0,0997","0,0383","140,275",306027,3,"37,66348",10,0,6
Coração Vagabundo,Gal Costa,spotify:track:4JsvZ2mfept92T8G1EHIQ6,0.497,0.13,0,"-21,208",0,"0,0538","0,879","0,0811","0,0965","0,277","80,442",144667,1,"32,85328",8,0,6
Count Me Out,Kickback,spotify:track:4KyJErKfJ8LueosXfAozmF,0.487,0.88,9,"-7,357",1,"0,12","0,000277","0,00309","0,138","0,31","127,712",234907,4,"35,81291",10,0,6
Cover Girl,New Kids On The Block,spotify:track:6CCYX0JVy5qYqUvWpCvHXh,0.721,0.765,6,"-13,036",1,"0,0345","0,0344","2,83E-06","0,322","0,948","119,948",241840,4,"50,45903",12,1,6
Crazy,Aerosmith,spotify:track:3swOo7nMm8zgAlV1NKPnka,0.37,0.866,6,"-3,879",0,"0,0384","0,0868",0,"0,137","0,427","162,086",316693,3,"58,51492",13,1,6
Crazy,Seal,spotify:track:7C37C3t2RfJ3XL1KaYzUT1,0.633,0.858,11,"-7,42",0,"0,0473","0,208","0,0114","0,0655","0,725","102,559",356520,4,"28,63587",13,1,6
Creep With Me,South Park Mexican,spotify:track:1qSMPxxsXOqTiAqWrnnVlg,0.847,0.529,4,"-7,339",0,"0,261","0,229",0,"0,256","0,945","160,033",253467,4,"32,06404",14,0,6
Cruisin',D'Angelo,spotify:track:2voXNGgRrosxCJA6foTVau,0.407,0.525,11,"-12,725",0,"0,166","0,381","0,000452","0,0816","0,329","74,34",384667,4,"29,09254",17,1,6
Crush,Dave Matthews Band,spotify:track:6AKSrodq9kU9hmTLEeWFFr,0.564,0.745,0,"-6,933",1,"0,0411","0,262","2,78E-05","0,108","0,672","94,044",488734,4,"28,32058",20,1,6
Crusin',Sound Advice,spotify:track:4BH000nstwl38nNaCHbhkD,0.643,0.556,8,"-15,448",1,"0,0451","0,449","0,929","0,249","0,572","99,002",330667,4,"42,33225",10,0,6
Cumdumpster,Jack Off Jill,spotify:track:4CmtpAfwwVLpJTzKigHuXT,0.298,0.793,4,"-6,228",1,"0,157","0,000342","0,164","0,161","0,648","150,454",146657,4,"28,39506",9,0,6
Cupido,El Gran Combo De Puerto Rico,spotify:track:6Bpo4npCY8nGEI9EFfqI9c,0.727,0.716,8,"-5,474",1,"0,0346","0,592","1,19E-06","0,187","0,928","93,184",258973,4,"26,69858",13,0,6
Cuspa Cerveja...,Os Pedrero,spotify:track:6IYGvJanVieBEtJaO4IGfc,0.166,0.985,2,"-4,529",1,"0,119","0,147","0,179","0,54","0,609","170,045",65667,4,"28,13311",4,0,6
Cuts Both Ways,Gloria Estefan,spotify:track:12DC0GskYSH3T4NX4FCgE3,0.38,0.309,11,"-12,6",1,"0,0329","0,649",0,"0,0693","0,299","83,717",194333,4,"49,55852",8,1,6
Cyclone,Jan Cyrka,spotify:track:37aC08L4smXN1L0gDYWXtj,0.495,0.926,2,"-7,278",1,"0,0594","0,0615","0,908","0,222","0,446","119,791",188040,4,"24,24762",8,0,6
Damn I Wish I Was Your Lover,Sophie B. Hawkins,spotify:track:0RmEn2jcbyrLV4em3bnDZJ,0.563,0.806,2,"-6,826",1,"0,0496","0,281","1,49E-05","0,363","0,42","95,188",323400,4,"53,70697",11,1,6
Dangerous,Busta Rhymes,spotify:track:2cZuNzaAGNFozlZTxSDU1g,0.913,0.6,11,"-8,446",0,"0,202","0,0096",0,"0,117","0,764","103,268",217640,4,"21,75141",9,1,6
Danny Boy,The King's Singers,spotify:track:0pSU2FXTmbfKh2wEVSOeg6,0.245,0.0284,3,"-24,309",1,"0,0383","0,953","3,77E-05","0,136","0,0709","106,958",190667,4,"48,29487",9,0,6
Darn That Dream,Dexter Gordon,spotify:track:1r1JtYz4XhvIIU1bIMQ0cn,0.526,0.0921,4,"-14,569",0,"0,0386","0,918","0,329","0,116","0,292","115,388",452333,4,"37,63463",19,0,6
Days And Nights In St. Ignace,Funk Inc.,spotify:track:5BfI84f26Wkp4crWYPRpgJ,0.689,0.579,10,"-11,258",1,"0,0316","0,442","0,765","0,152","0,63","111,98",314400,4,"54,0351",17,0,6
Days of the Broken Arrows,The Idle Race,spotify:track:7ja7aQuGPAxk9jW4hlOTfI,0.469,0.72,4,"-8,02",1,"0,0494","0,533","1,31E-06","0,233","0,655","128,685",231347,4,"31,64781",9,0,6
December,Collective Soul,spotify:track:3yi27cGUFPTQUdWZV9nV67,0.684,0.645,0,"-5,707",1,"0,0272","0,589","0,00432","0,18","0,366","121,995",285000,4,"47,447",12,1,6
Decidete,Luis Miguel,spotify:track:49d9r0dPy455AM3VGxB7z4,0.614,0.904,9,"-4,811",1,"0,0375","0,63",0,"0,336","0,772","135,606",183223,4,"26,73278",11,0,6
Deeper Shade Of Soul,Urban Dance Squad,spotify:track:4KRMoo8vKWavy5f6dFpFmS,0.76,0.767,7,"-6,155",1,"0,0313","0,11","0,000718","0,0314","0,821","113,425",272907,4,"43,40602",11,1,6
Deepwood,Avail,spotify:track:7vqTCxdmdtbC9kCmeuefWs,0.177,0.936,2,"-4,992",1,"0,0644","9,63E-06",0,"0,0359","0,555","158,166",120493,4,"40,51433",6,0,6
Deja Vu [Uptown Baby],Lord Tariq & Peter Gunz,spotify:track:6dLujFTBvLRnr8zPMMVUJg,0.861,0.622,1,"-7,493",1,"0,379","0,0816",0,"0,123","0,664","96,911",284800,4,"39,87754",13,1,6
Deliver Us - The Prince Of Egypt/Soundtrack Version,Ofra Haza,spotify:track:2q3X0uc2XpGruqitKOm3xa,0.229,0.178,4,"-16,679",0,"0,0402","0,728","0,0115","0,133","0,0937","137,681",435200,4,"69,06485",19,0,6
Depois do Prazer,Só Pra Contrariar,spotify:track:3R0fWjRyx1GN4rFDirZZlC,0.579,0.385,9,"-14,643",1,"0,0431","0,636",0,"0,0478","0,769","108,793",269400,4,"59,84825",12,0,6
Dernier souffle,Ozymandias,spotify:track:7EoQiDcFAiE2KGl1Uru4GJ,0.577,0.0603,1,"-22,612",1,"0,0615","0,994","0,878","0,131","0,159","114,666",155520,4,"59,61029",4,0,6
Desafinado,João Gilberto,spotify:track:2JKUGcwfYhen8D1TE5LtAg,0.556,0.0472,2,"-24,544",1,"0,0804","0,949","0,108","0,114","0,37","83,622",207560,4,"19,47325",12,0,6
Desperately Wanting,Better Than Ezra,spotify:track:7GuLQiPvQbfzP0kqcvgIQQ,0.494,0.913,0,"-5,289",1,"0,0378","0,000165","0,00898","0,247","0,478","99,92",277493,4,"55,50686",12,1,6
Destiny,Myron,spotify:track:20I5QpXHxNEUVS9owFhcXE,0.614,0.419,1,"-10,433",1,"0,308","0,0226",0,"0,0835","0,523","116,056",216493,4,"41,32123",9,1,6
Deutschmaschine,And One,spotify:track:56CIvdVMe5ihDFJcZroQoH,0.661,0.766,6,"-9,585",1,"0,0339","0,0825","0,0027","0,606","0,511","134,997",196280,4,"42,69367",7,0,6
Devil Town,Daniel Johnston,spotify:track:2zc3Txxn5cL4gdXRmZOj07,0.582,0.0774,8,"-13,6",1,"0,423","0,967",0,"0,286","0,314","122,725",64680,1,"20,15825",3,0,6
Dichter Bij Ow,Rowwen Hèze,spotify:track:4C55WMbMkPoBrGCLXodSuP,0.402,0.292,7,"-14,147",1,"0,0285","0,287",0,"0,0616","0,376","135,978",181267,4,"27,13866",12,0,6
Discotheque,U2,spotify:track:3IrhUrZKAkJ8LsFtH71fOT,0.581,0.825,4,"-9,689",0,"0,0373","0,000859","0,095","0,11","0,663","120,362",318667,4,"43,01562",11,1,6
Do For Love,2Pac Featuring Eric Williams,spotify:track:4AE7Lj39VnSZNOmGH2iZaq,0.874,0.63,1,"-3,585",1,"0,298","0,0578","0,00479","0,0582","0,717",95,281600,4,"65,26743",10,1,6
Do You Know (What It Takes),Robyn,spotify:track:0idCpkJ2pspfAILbanmERu,0.635,0.74,3,"-4,439",0,"0,0355","0,00465","0,0152","0,129","0,857","200,102",221293,4,"16,14569",11,1,6
Do You See,Warren G,spotify:track:2e3YoddL43UkaSqhYGqfKz,0.769,0.624,1,"-10,558",0,"0,197","0,169",0,"0,378","0,556","95,24",239067,4,"47,99295",7,1,6
Doctor Jazz,Jelly Roll Morton,spotify:track:5nLKblcZMpBLHZMSuemb48,0.752,0.481,3,"-15,201",1,"0,549","0,759",0,"0,475","0,545","116,485",161333,4,"63,83178",7,0,6
Doin It,LL Cool J,spotify:track:4WMBl2wiGUSGa5C7tfQEAo,0.801,0.55,10,"-11,044",0,"0,209","0,365","0,0234","0,117","0,609","94,993",293933,4,"53,7761",13,1,6
Don't Ask Me to Explain,of Montreal,spotify:track:1ImiJ7LNgKiJKAhVMExQDm,0.456,0.752,6,"-6,714",1,"0,0302","0,672",0,"0,329","0,689","143,877",166040,4,"51,4643",7,0,6
Don't Cry for Me Argentina,Acker Bilk,spotify:track:2sTW3ndOfl5MnITIV6ueTC,0.321,0.246,0,"-13,383",1,"0,0316","0,968","0,837","0,135","0,25","85,161",226507,4,"46,28706",11,0,6
Don't Go Breaking My Heart,Elton John & RuPaul,spotify:track:5pKJtX4wBeby9qIfFhyOJj,0.742,0.863,5,"-7,823",1,"0,038","0,177","5,59E-06","0,0699","0,776","131,196",271133,4,"24,82981",12,1,6
Don't Let It Go To Your Head,Brand Nubian,spotify:track:5wwLfjdiSHsgKyEO6V5rDe,0.849,0.495,6,"-10,399",0,"0,204","0,00243","3,53E-06","0,0722","0,666","99,872",244640,4,"65,58327",8,1,6
Don't Lose The Magic,Shawn Christopher,spotify:track:0KnWFe8LmBjEMbmvBjqXi1,0.72,0.532,8,"-17,31",1,"0,0471","0,0003","0,00142","0,0507","0,526","120,271",226013,4,"64,79065",12,1,6
Don't Stop,ATB,spotify:track:0ygoI3HcoGScxt879A23Uk,0.711,0.937,10,"-5,314",1,"0,0351","0,146","0,763","0,324","0,57","134,21",221160,4,"30,67944",9,0,6
Don't Take The Girl,Tim McGraw,spotify:track:2wmEryA2YLaFwFvA63n3O2,0.439,0.454,0,"-8,669",1,"0,0308","0,279",0,"0,123","0,354","204,263",249360,4,"30,27683",15,1,6
Don't Treat Me Bad,Firehouse,spotify:track:4lbhQdbiTpNP7GowZG8KsM,0.616,0.807,8,"-11,4",1,"0,0348","0,000303","2,37E-05","0,193","0,637","111,054",235360,4,"39,61848",10,1,6
Don't Trust The Humanoids,The Lillingtons,spotify:track:5KbPieCEjLJ6RjShuqKQAc,0.247,0.917,2,"-5,752",1,"0,0404","4,13E-05","0,00146","0,123","0,886","195,216",103240,4,"51,54197",4,0,6
Don't Worship Me,Matt Nathanson,spotify:track:7JpnnwxybmCGO0p3pLJPJR,0.42,0.593,11,"-15,406",1,"0,0475","0,135","0,000168","0,0559","0,395","138,485",145227,4,"36,35566",7,0,6
Down,Kickback,spotify:track:1ui2xK5upI5Is8AoRCZ25h,0.405,0.821,6,"-9,42",0,"0,0977","0,000373","7,3E-05","0,497","0,446","91,999",223267,4,"22,137",10,0,6
Down Home Girl,Taj Mahal,spotify:track:4o0rTn32s1mOOdi6t1z8Bv,0.801,0.617,5,"-8,031",0,"0,0287","0,0645",0,"0,177","0,961","106,642",223040,4,"38,19674",10,0,6
Downtown Train,Rod Stewart,spotify:track:5XJzh2c0roCc6GDs8PrILx,0.527,0.584,10,"-7,965",1,"0,0314","0,0878","0,000103","0,117","0,271","114,941",279413,4,"29,41867",15,1,6
Dr. Greenthumb,Cypress Hill,spotify:track:6pNPthJtweLWioQeGtwJe5,0.804,0.549,10,"-8,779",0,"0,286","0,0467","0,102","0,0751","0,15","103,856",189253,4,"54,36768",9,1,6
Dreamlover,Mariah Carey,spotify:track:6HcQZfMrw3KwGyzrKw1Pjy,0.701,0.705,5,"-6,18",1,"0,0357","0,18",0,"0,141","0,71","100,669",232960,4,"35,79226",12,1,6
Dreams,The Cranberries,spotify:track:4JGKZS7h4Qa16gOU3oNETV,0.551,0.643,4,"-13,091",1,"0,0353","0,00313","0,00385","0,421","0,514","128,661",271560,4,"33,38657",15,1,6
Dreams of Space and Time,John Rea,spotify:track:4IB7kqhr0OgwzrAJYP7xo9,0.262,0.304,0,"-25,125",1,"0,0614","0,911","0,715","0,174","0,17","67,648",157800,3,"23,98723",7,0,6
"Drink, Swear, Steal & Lie",Michael Peterson,spotify:track:3ZdAwMX7Lku81KGiqsjDeA,0.672,0.697,11,"-7,223",1,"0,0251","0,427",0,"0,131","0,757","103,358",182307,4,"25,28072",10,1,6
Drop,The Pharcyde,spotify:track:7sT3O2PXs1o12XnCKlv204,0.849,0.744,10,"-6,993",0,"0,274","0,301","4,79E-06","0,234","0,695","95,098",334467,4,"39,23464",13,1,6
Due tramonti,Ludovico Einaudi,spotify:track:2f47H0NpgJCGgORmweUJhs,0.186,0.0597,2,"-22,294",1,"0,0453","0,969","0,91","0,113","0,0716","131,32",292627,4,"22,88668",14,0,6
Eau D' Bedroom Dancing,Le Tigre,spotify:track:0MRylncmeKOjDF14R8r6eK,0.61,0.65,6,"-5,873",1,"0,0413","0,00598","0,222","0,0934","0,886","116,724",175533,4,"52,25852",7,0,6
Echos Myron,Guided By Voices,spotify:track:0kSxRxxiI1Vaiispzszvf0,0.443,0.889,1,"-11,578",1,"0,0426","0,0801","1,04E-05","0,146","0,359","132,162",162293,4,"60,75874",7,0,6
Ecstacy - Sindh Mast Qallandar,Rakesh Chaurasia,spotify:track:79tn5JO88mzIhDFBa5k7Ch,0.393,0.825,9,"-4,958",1,"0,0467","0,173","0,0133","0,135","0,245","83,61",456520,4,"22,95901",13,0,6
El Día Que Me Quieras,Luis Miguel,spotify:track:3NKIbFFAioTfznWbnjAMXX,0.215,0.666,8,"-6,442",1,"0,0364","0,368","1,88E-06","0,0891","0,244","159,234",241693,4,"39,54298",13,0,6
El Rock de la Carcel - En Directo,Miguel Rios,spotify:track:2lAeLDyzoJqbT760ixRq0O,0.364,0.813,0,"-8,072",1,"0,075","0,542",0,"0,723","0,454","81,244",115507,4,"61,837",4,0,6
